,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,2,2,0.4,0.2,610
1,2,3,0.4,0.3,294
2,4,6,0.8,0.6,286
3,4,8,0.8,0.8,298
4,2,6,0.4,0.6,82
5,5,9,1.0,0.9,202
6,0,0,0.0,0.0,341
7,3,7,0.6,0.7,217
8,4,9,0.8,0.9,57
9,4,7,0.8,0.7,21
10,0,3,0.0,0.3,183
11,3,7,0.6,0.7,414
12,4,9,0.8,0.9,483
13,5,10,1.0,1.0,182
14,1,2,0.2,0.2,509
15,5,7,1.0,0.7,125
16,5,7,1.0,0.7,84
17,5,8,1.0,0.8,140
18,5,8,1.0,0.8,117
19,0,0,0.0,0.0,520
20,3,6,0.6,0.6,313
21,4,6,0.8,0.6,443
22,1,2,0.2,0.2,271
23,5,9,1.0,0.9,232
24,5,6,1.0,0.6,131
25,2,3,0.4,0.3,280
26,5,10,1.0,1.0,274
27,3,3,0.6,0.3,590
28,4,7,0.8,0.7,239
29,5,9,1.0,0.9,305
30,1,5,0.2,0.5,525
31,1,2,0.2,0.2,29
32,1,2,0.2,0.2,597
33,3,6,0.6,0.6,372
34,4,8,0.8,0.8,144
35,5,7,1.0,0.7,263
36,2,2,0.4,0.2,168
37,3,6,0.6,0.6,226
38,2,4,0.4,0.4,244
39,5,10,1.0,1.0,249
40,2,2,0.4,0.2,582
41,5,9,1.0,0.9,103
42,5,10,1.0,1.0,68
43,0,0,0.0,0.0,255
44,2,3,0.4,0.3,51
45,1,3,0.2,0.3,223
46,5,9,1.0,0.9,91
47,1,1,0.2,0.1,489
48,1,3,0.2,0.3,116
49,2,3,0.4,0.3,256
50,1,2,0.2,0.2,606
51,1,3,0.2,0.3,402
52,3,5,0.6,0.5,111
53,0,2,0.0,0.2,330
54,3,3,0.6,0.3,603
55,4,8,0.8,0.8,381
56,5,5,1.0,0.5,24
57,5,9,1.0,0.9,105
58,0,0,0.0,0.0,393
59,0,0,0.0,0.0,308
60,1,3,0.2,0.3,266
61,3,4,0.6,0.4,534
62,2,7,0.4,0.7,96
63,2,2,0.4,0.2,453
64,4,8,0.8,0.8,177
65,1,1,0.2,0.1,404
66,4,4,0.8,0.4,41
67,4,5,0.8,0.5,50
68,4,8,0.8,0.8,1
69,1,2,0.2,0.2,48
70,3,7,0.6,0.7,200
71,0,0,0.0,0.0,410
72,2,3,0.4,0.3,332
73,2,2,0.4,0.2,599
74,2,2,0.4,0.2,387
75,1,1,0.2,0.1,89
76,3,5,0.6,0.5,215
77,4,7,0.8,0.7,187
78,0,0,0.0,0.0,432
79,5,10,1.0,1.0,288
80,2,5,0.4,0.5,246
81,4,8,0.8,0.8,4
82,4,6,0.8,0.6,42
83,3,4,0.6,0.4,176
